State,City,Hospital name,Address,Pincode,Contact number,Address,Status geocode,Formatted address,Latitude,Longitude,Type,Street,Postal code,City,Country,Region
Tamil Nadu,Chennai,Hindu Mission Hospital,"103, GST Road, West Tambakam",600045,8754595006,"103, GST Road, West Tambakam",Ok,"103, Grand Southern Trunk Rd, opp. Hindu Mission Hospital, New Market, West Tambaram, Tambaram, Chennai, Tamil Nadu 600045, India",12.9238478,80.1139816,premise,Grand Southern Trunk Road,600045,Chennai,India,Tamil Nadu
Tamil Nadu,Chennai,Hycare Superspeciality Hospital,"No. 37 , Razack Garden Road, Mmda Colony, Arumbakkam , Chennai",600106,9344833418,"No. 37 , Razack Garden Road, Mmda Colony, Arumbakkam , Chennai",Ok,"37, Razack Garden Ave, Razaak Garden, SBI Officers Colony, Arumbakkam, Chennai, Tamil Nadu 600106, India",13.0734658,80.2157328,street_address,Razack Garden Avenue,600106,Chennai,India,Tamil Nadu
Tamil Nadu,Chennai,K.H.M.Hospital,"Ab-14, 6Th Main Road Anna Nagar ,",600040,04426212218,"Ab-14, 6Th Main Road Anna Nagar ,","Ok, partial match","14, 6th Main Rd, Block R, Anna Nagar, Chennai, Tamil Nadu 600040, India",13.0917946,80.213362,premise,6th Main Road,600040,Chennai,India,Tamil Nadu
Tamil Nadu,Chennai,Kauvery Hcg Cancer Centre Hospital (Hcg Group),"Mbc Tower,199/90, Luz Church Road, Alwarpet Junction, Mylapore",600004,04442042520,"Mbc Tower,199/90, Luz Church Road, Alwarpet Junction, Mylapore","2 found, use single geocode.","199, Luz Church Rd, Kapali Thottam, Mylapore, Chennai, Tamil Nadu 600004, India",13.0384867,80.2572727,street_address,Luz Church Road,600004,Chennai,India,Tamil Nadu
Tamil Nadu,Chennai,Kauvery Hospital (A Unit Of Sri Kavery Medical Care Ltd),"No.81, T.T.K. Rd, Alwarpet",600018,04440006000,"No.81, T.T.K. Rd, Alwarpet",Ok,"81, TT Krishnamachari Rd, CIT Colony, Alwarpet, Chennai, Tamil Nadu 600018, India",13.0415358,80.2590845,premise,TT Krishnamachari Road,600018,Chennai,India,Tamil Nadu
Tamil Nadu,Chennai,Kumaran Hospitals Pvt.Ltd,New No 214 Old No 869 Evr High Rd Kilpauk,600010,04442956777,New No 214 Old No 869 Evr High Rd Kilpauk,"Ok, partial match","869, EVR Rd, Egmore, Chennai, Tamil Nadu 600084, India",13.0788992,80.251905,street_address,EVR Road,600084,Chennai,India,Tamil Nadu
Tamil Nadu,Chennai,Medway Medical Centre,"8/22, 4Th Cross Street, Trustpuram, Kodambakka",600024,04424734455,"8/22, 4Th Cross Street, Trustpuram, Kodambakka",Ok,"8/10-A, 4th Cross St, Bharatheeswarar Colony, Bharatheswarar Colony, Kodambakkam, Chennai, Tamil Nadu 600024, India",13.0570434,80.220607,premise,4th Cross Street,600024,Chennai,India,Tamil Nadu
Tamil Nadu,Chennai,Mgm Health Care Pvt Ltd,"72 Nelson Manickam Road,Aminjikarai",600029,9384052404,"72 Nelson Manickam Road,Aminjikarai",Ok,"72, Nelson Manickam Rd, near Mehta Nagar, Railway Colony, Aminjikarai, Chennai, Tamil Nadu 600029, India",13.0677235,80.2270221,street_address,Nelson Manickam Road,600029,Chennai,India,Tamil Nadu
Tamil Nadu,Chennai,Miot Hospital,"4/112, Mount Poonamalllee Road, Manapakkam",600089,044 -22492288,"4/112, Mount Poonamalllee Road, Manapakkam","Ok, partial match","4/112, Mount Poonamallee Rd, Sathya Nagar, Manapakkam, Chennai, Tamil Nadu 600089, India",13.0213295,80.1856227,street_address,Mount Poonamallee Road,600089,Chennai,India,Tamil Nadu
Tamil Nadu,Chennai,Murugan Hospitals,"No-264/125, Kilpauk Garden Road",600010,"9710671620/0444644898
9","No-264/125, Kilpauk Garden Road",Ok,"264-A, 264-A, Kilpauk Garden Road, Kilpauk, Chennai, Tamil Nadu 600010, India",13.0834183,80.2342134,street_address,Kilpauk Garden Road,600010,Chennai,India,Tamil Nadu
